id,name,sampling_rate
106,p01p1,5
107,p01p1c,5
108,p01p2,5
109,p01p2c,5
110,p01p3,5
111,p01p3c,5
112,p02p1,5
113,p02p1c,5
114,p02p2,5
115,p02p2c,5
116,p02p3,5
117,p02p3c,5
118,p03p1,5
119,p03p1c,5
120,p03p2,5
121,p03p2c,5
122,p03p3,5
123,p03p3c,5
124,ph01p1,5
125,ph01p1c,5
126,ph01p2,5
127,ph01p2c,5
128,ph01p3,5
129,ph01p3c,5
130,ph02p1,5
131,ph02p1c,5
132,ph02p2,5
133,ph02p2c,5
134,ph02p3,5
135,ph02p3c,5
136,ph03p1,5
137,ph03p1c,5
138,ph03p2,5
139,ph03p2c,5
140,ph03p3,5
141,ph03p3c,5
142,ph04p1,5
143,ph04p1c,5
144,ph04p2,5
145,ph04p2c,5
146,ph04p3,5
147,ph04p3c,5